activity,unit,emission_factor,geography,scope,source,source_year,confidence
grid_electricity,kWh,0.82,India (CEA),Scope 2,Central Electricity Authority CO2 Baseline Database,2024,High
grid_electricity,kWh,0.386,USA (EPA),Scope 2,EPA eGRID National Average,2024,High
grid_electricity,kWh,0.475,Global (IEA),Scope 2,IEA World Energy Outlook Emission Factors,2023,High
natural_gas,m3,2.03,Global (IPCC),Scope 1,IPCC Guidelines for National GHG Inventories,2023,High
diesel_fuel,L,2.68,Global (DEFRA),Scope 1,UK DEFRA Emission Conversion Factors,2024,High
lpg_fuel,kg,1.51,Global (DEFRA),Scope 1,UK DEFRA Emission Conversion Factors,2024,High
raw_cotton_textile,kg,4.50,Global (Higg),Scope 3,Higg Materials Sustainability Index,2023,Medium
synthetic_fiber,kg,7.20,Global (Higg),Scope 3,Higg Materials Sustainability Index,2023,Medium
industrial_landfill_waste,tonne,580.0,Global (IPCC),Scope 3,IPCC Solid Waste Disposal Greenhouse Gas Factors,2023,High
incinerated_waste,tonne,1200.0,Global (DEFRA),Scope 3,UK DEFRA Industrial Waste Treatment,2024,High
recycled_waste,tonne,21.0,Global (EPA),Scope 3,EPA WARM Materials Recycling Offset,2023,High
coal_industrial,kg,2.42,India (CEA),Scope 1,Bureau of Energy Efficiency Guidelines,2023,High
