factor_id,category,activity,unit,factor_kgco2e_per_unit,geography,source,source_year,notes
IND_ELEC_GRID,Electricity,Indian grid electricity,kWh,0.727,India,"Central Electricity Authority (CEA), CO2 Baseline Database",FY 2023-24,CEA weighted-average grid emission factor including renewable generation; 0.727 tCO2/MWh = 0.727 kgCO2/kWh.
IND_ELEC_SOLAR,Electricity,On-site solar electricity (operational accounting),kWh,0,India,GHG accounting convention for location-based operational emissions,Current accounting assumption,Use 0 for operational Scope 2 accounting. This is not a life-cycle embodied-carbon factor for PV panels.
FUEL_DIESEL,Fuel,Diesel / HSD combustion,litre,2.68,India / generic combustion factor,"IPCC 2006 Guidelines, Vol. 2; GHG Protocol convention",2006,"Use for diesel consumed in DG sets, boilers or company-controlled vehicles."
FUEL_PETROL,Fuel,Petrol / gasoline combustion,litre,2.31,India / generic combustion factor,"IPCC 2006 Guidelines, Vol. 2; GHG Protocol convention",2006,Use for petrol consumed in company-controlled vehicles or equipment.
FUEL_NG,Fuel,Natural gas / CNG / PNG combustion,standard_m3,1.96,India / generic combustion factor,"IPCC 2006 Guidelines, Vol. 2; GHG Protocol convention",2006,Use only when the meter/fuel record is expressed in standard cubic metres (SCM).
FUEL_LPG,Fuel,LPG combustion,kg,3.02,India / generic combustion factor,"IPCC 2006 Guidelines, Vol. 2",2006,Mass-based factor; do not use a litre-based LPG factor with this row.
FUEL_COAL,Fuel,Bituminous coal combustion,kg,2.42,India / generic combustion factor,IPCC 2006 Guidelines; India-specific calorific-value convention,2006,Use as a screening factor; actual coal factor should ideally use the plant's coal quality and calorific value.
FUEL_FO,Fuel,Furnace oil / heavy fuel oil,litre,2.97,India / generic combustion factor,IPCC 2006 Guidelines; GHG accounting conversion,2006,Screening factor; replace with supplier/plant-specific calorific value when available.
WASTE_ORGANIC_LANDFILL,Waste,Organic waste sent to landfill,kg,1.29,India,"Ministry of Environment, Forest and Climate Change (MoEFCC), Low Carbon Lifestyles",2019,Use only for organic waste routed to landfill.
WASTE_ORGANIC_COMPOST,Waste,Organic waste composting,kg,0.32,India,"Ministry of Environment, Forest and Climate Change (MoEFCC), Low Carbon Lifestyles",2019,Use for the composting pathway represented in the source.
MATERIAL_STEEL,Material,"Crude steel production, India average",kg,2.54,India,"Ministry of Steel, Government of India, Greening the Steel Sector in India Roadmap",2023-24,India-average crude-steel production intensity. This is not a universal purchased-steel cradle-to-gate factor; route-specific values differ materially.
MATERIAL_CEMENT,Material,"Cement production, representative Indian factor",kg,0.9,India,Indian LCA literature using Indian datasets,2026 literature,Representative midpoint of a reported 0.85–0.95 kg CO2/kg range. Replace with product-specific EPD/LCA data when available.
MATERIAL_COTTON_FIBER,Material,Cotton fibre production,kg,1.9,Global estimate,2025 peer-reviewed global cotton carbon-footprint study,2025,"Global estimate, not India-specific. Use only as a placeholder until an India-specific supplier/LCA factor is selected."
