industry,factory_size,production,electricity_kwh,natural_gas_scm,diesel_litre,raw_material_kg,waste_kg,electricity_emissions,gas_emissions,diesel_emissions,waste_emissions,total_emissions,emission_intensity,energy_intensity,waste_ratio,top_hotspot,second_hotspot,budget,reduction_target,recommended_intervention,renewable_potential,compliance_score,electricity_score,gas_score,diesel_score,waste_score,emission_score,emissions_per_unit,energy_efficiency_score,recommendation_priority,intervention_impact,potential_reduction_tonnes,roi_score
Leather,Medium,148160,193079,23336,3082,76275,6028,140.37,45.74,8.26,7.78,202.15,1.36,2.98,7.9,Electricity,Natural Gas,286767,20,Compressed Air Optimization,High,63.4,6.759135607624136,5.547770303936224,7.733892321270962,5.987586710478277,26.03,1.364,84.44,Low,0.12,24.26,0.0846
Leather,Medium,89808,170249,19266,1937,86580,4140,123.77,37.76,5.19,5.34,172.06,1.92,4.15,4.78,Electricity,Natural Gas,252357,30,Smart Metering,Low,96.2,5.751487191938812,4.305244145490781,4.346866725507502,3.760496531580869,18.16,1.916,72.52,Medium,0.05,8.6,0.0341
Electronics,Large,265001,347238,47247,4492,203908,10484,252.44,92.6,12.04,13.52,370.6,1.4,3.18,5.14,Electricity,Natural Gas,338823,10,Power Factor Correction,Low,89.0,13.561976447735823,12.844108121574488,11.90423654015887,11.226725082146768,49.54,1.398,83.7,Low,0.07,25.94,0.0766
Electronics,Medium,95648,152547,25727,1616,76547,4424,110.9,50.42,4.33,5.71,171.36,1.79,4.37,5.78,Electricity,Natural Gas,185400,20,Power Factor Correction,High,72.5,4.970256161223747,6.27646985550573,3.3980582524271843,4.09821102592187,18.74,1.792,75.2,Low,0.07,12.0,0.0647
Automotive Parts,Small,75852,137619,13642,1531,41224,2126,100.05,26.74,4.1,2.74,133.63,1.76,3.71,5.16,Electricity,Natural Gas,114191,30,Compressed Air Optimization,Low,61.4,4.311642588320991,2.5893746885899347,3.1443071491615173,1.3873676524278935,11.43,1.762,75.85,Medium,0.12,16.04,0.1405
Pharmaceutical,Medium,105487,156279,21561,2812,92537,4652,113.61,42.26,7.54,6.0,169.41,1.61,3.66,5.03,Electricity,Natural Gas,286022,30,Power Factor Correction,Low,91.3,5.1347578001699645,5.0059167912306926,6.939541041482789,4.362906170135085,21.44,1.606,79.21,Medium,0.07,11.86,0.0415
Chemical,Large,236358,298605,47336,6556,191216,16563,217.09,92.78,17.57,21.37,348.81,1.48,3.4,8.66,Electricity,Natural Gas,576309,15,IE4 Motor,High,88.8,11.416170936020395,12.872135027404086,18.00529567519859,18.391748813435562,60.69,1.476,82.02,Medium,0.15,52.32,0.0908
Textile,Medium,129495,158780,28951,2226,101445,4933,115.43,56.74,5.97,6.36,184.5,1.42,3.55,4.86,Electricity,Natural Gas,182550,25,HVAC Optimization,High,70.9,5.245234915624621,7.260525660189337,5.207413945278023,4.691493245710113,22.4,1.425,83.12,Medium,0.1,18.45,0.1011
Automotive Parts,Small,26550,59792,14114,1127,64935,1359,43.47,27.66,3.02,1.75,75.9,2.86,7.78,2.09,Electricity,Natural Gas,147418,10,Smart Metering,High,68.4,0.8771397353405366,2.73262331838565,1.9527802294792587,0.48375319459656807,6.05,2.859,52.17,Low,0.05,3.8,0.0258
Steel,Small,94192,130281,7455,1515,92362,4103,94.71,14.61,4.06,5.29,118.67,1.26,2.26,4.44,Electricity,Natural Gas,83404,10,Solar Rooftop,Low,84.7,3.9874954473716153,0.7006726457399104,3.100176522506619,3.7148594377510045,11.5,1.26,86.68,Low,0.25,29.67,0.3557
